Category: Food & Drink,
,
Region,cafe: (8/22/20 - 11/22/20)
Goa,100
Delhi,94
Uttarakhand,83
Karnataka,80
Gujarat,71
Puducherry,70
Meghalaya,61
West Bengal,57
Kerala,57
Assam,55
Nagaland,54
Chandigarh,52
Himachal Pradesh,50
Maharashtra,44
Rajasthan,43
Daman and Diu,42
Telangana,40
Haryana,39
Dadra and Nagar Haveli,37
Andaman and Nicobar Islands,37
Tamil Nadu,32
Tripura,32
Arunachal Pradesh,30
Sikkim,29
Uttar Pradesh,28
Punjab,28
Manipur,27
Chhattisgarh,27
Madhya Pradesh,26
Jammu and Kashmir,24
Jharkhand,22
Bihar,19
Odisha,19
Andhra Pradesh,16
Mizoram,10
Lakshadweep,
