Category: Food & Drink

Week,cafe: (India)
2019-11-24,74
2019-12-01,79
2019-12-08,75
2019-12-15,77
2019-12-22,99
2019-12-29,100
2020-01-05,80
2020-01-12,77
2020-01-19,76
2020-01-26,70
2020-02-02,73
2020-02-09,79
2020-02-16,79
2020-02-23,74
2020-03-01,74
2020-03-08,73
2020-03-15,50
2020-03-22,16
2020-03-29,20
2020-04-05,20
2020-04-12,19
2020-04-19,21
2020-04-26,18
2020-05-03,22
2020-05-10,20
2020-05-17,21
2020-05-24,21
2020-05-31,22
2020-06-07,31
2020-06-14,28
2020-06-21,30
2020-06-28,28
2020-07-05,30
2020-07-12,28
2020-07-19,29
2020-07-26,29
2020-08-02,33
2020-08-09,37
2020-08-16,43
2020-08-23,43
2020-08-30,46
2020-09-06,50
2020-09-13,52
2020-09-20,46
2020-09-27,54
2020-10-04,54
2020-10-11,54
2020-10-18,60
2020-10-25,62
2020-11-01,60
2020-11-08,64
2020-11-15,75
